strategy,machine_type,elec_cost,day,n_machines,BTC,USD,price,global_hash_rate,global_mining_rev_btc,machine_hash_rate,machine_wattage,user_hash_rate,revenue_btc,expense_usd,total_position_usd
Long BTC,Antminer S19,0.03,0,166.0,0.0,0.0,62869.495587375786,155349877.0,1044.0527146770157,95.0,3.25,15770.0,0.10598470773463524,388.43999999999994,0.0
Long BTC,Antminer S19,0.03,1,166.0,0.09972816991521759,0.0,62621.714145167956,155349877.0,1044.0500782726165,95.0,3.25,15770.0,0.10598444010585967,388.43999999999994,6248.487940937037
Long BTC,Antminer S19,0.03,2,166.0,0.1995251730849224,0.0,63679.25455329327,155349877.0,1044.0527459461227,95.0,3.25,15770.0,0.10598471090884967,388.43999999999994,12713.140591884046
Long BTC,Antminer S19,0.03,3,166.0,0.29925762044921644,0.0,63322.21797924408,155349877.0,1044.0541521999712,95.0,3.25,15770.0,0.10598485366160633,388.43999999999994,18964.12867268962
Long BTC,Antminer S19,0.03,4,166.0,0.39889278017308855,0.0,63135.79766601669,155349877.0,1044.0541138478072,95.0,3.25,15770.0,0.10598484976837104,388.43999999999994,25214.500201554765
Long BTC,Antminer S19,0.03,5,166.0,0.4983337647295128,0.0,62457.22012423036,155349877.0,1044.0509556222098,95.0,3.25,15770.0,0.1059845291680678,388.43999999999994,31178.15055601897
Long BTC,Antminer S19,0.03,6,166.0,0.5977399994059158,0.0,62776.42501138845,155349877.0,1044.0499539992288,95.0,3.25,15770.0,0.1059844274905209,388.43999999999994,37600.357612434454
Long BTC,Antminer S19,0.03,7,166.0,0.6971756939526546,0.0,65234.79633861841,155349877.0,1044.0507238627329,95.0,3.25,15770.0,0.10598450564151593,388.43999999999994,45615.56403243544
Long BTC,Antminer S19,0.03,8,166.0,0.7966863120788722,0.0,66337.62384422636,155349877.0,1044.0518285067724,95.0,3.25,15770.0,0.10598461777701827,388.43999999999994,53024.4938231973
Long BTC,Antminer S19,0.03,9,166.0,0.8960224057904154,0.0,65209.45260885372,155349877.0,1044.0491135414322,95.0,3.25,15770.0,0.10598434217330208,388.43999999999994,58642.784596369944
Long BTC,Antminer S19,0.03,10,166.0,0.9952033633607629,0.0,65368.87256005655,155349877.0,1044.051869054142,95.0,3.25,15770.0,0.10598462189309502,388.43999999999994,65341.106532207945
Long BTC,Antminer S19,0.03,11,166.0,1.0946153555782445,0.0,68207.18579702487,155349877.0,1044.0514455943767,95.0,3.25,15770.0,0.10598457890651129,388.43999999999994,75024.75706776815
Long BTC,Antminer S19,0.03,12,166.0,1.194037957943659,0.0,70831.70717462042,155349877.0,1044.0497631355029,95.0,3.25,15770.0,0.10598440811541089,388.43999999999994,85062.0204198299
Long BTC,Antminer S19,0.03,13,166.0,1.2935306659426822,0.0,71819.74721139293,155349877.0,1044.054224851707,95.0,3.25,15770.0,0.10598486103668701,388.43999999999994,93448.66067796921
Long BTC,Antminer S19,0.03,14,166.0,1.393022281207907,0.0,73163.8887605325,155349877.0,1044.0508456157822,95.0,3.25,15770.0,0.10598451800100808,388.43999999999994,102565.5142294082
Long BTC,Antminer S19,0.03,15,166.0,1.4924043050266829,0.0,71370.04413232132,158979288.92,1044.0499982722151,95.0,3.25,15770.0,0.10356528093411228,388.43999999999994,107173.52095613223
Long BTC,Antminer S19,0.03,16,166.0,1.5894714816909705,0.0,71913.6889161267,159126085.4,1044.053140902661,95.0,3.25,15770.0,0.10347012583588486,388.43999999999994,115024.77475084296
Long BTC,Antminer S19,0.03,17,166.0,1.686414084352017,0.0,74158.40159582591,159207207.64,1044.050308589837,95.0,3.25,15770.0,0.10341729434000797,388.43999999999994,125935.568162671
Long BTC,Antminer S19,0.03,18,166.0,1.783034297659733,0.0,73599.7519688446,159282934.28,1044.0554251203298,95.0,3.25,15770.0,0.10336858802873636,388.43999999999994,132199.99486355865
Long BTC,Antminer S19,0.03,19,166.0,1.8795865377886738,0.0,74582.07251016129,159445468.24,1044.045592551326,95.0,3.25,15770.0,0.10326286444049046,388.43999999999994,141317.8502072036
Long BTC,Antminer S19,0.03,20,166.0,1.9760230471612368,0.0,75691.8794612293,159561693.52,1044.0465187163472,95.0,3.25,15770.0,0.10318826100458495,388.43999999999994,150907.09836410772
Long BTC,Antminer S19,0.03,21,166.0,2.0720717449613106,0.0,73482.32187998969,159654937.48,1044.052168075342,95.0,3.25,15770.0,0.10312969560143478,388.43999999999994,153742.77203057404
Long BTC,Antminer S19,0.03,22,166.0,2.1677606622770713,0.0,70795.38551912428,161944424.56,1044.0477803726753,95.0,3.25,15770.0,0.10167178365921183,388.43999999999994,154992.95525098045
Long BTC,Antminer S19,0.03,23,166.0,2.262218599007209,0.0,70750.97874198749,162159194.24,1044.0534814425262,95.0,3.25,15770.0,0.10153821372843085,388.43999999999994,161597.25892847741
Long BTC,Antminer S19,0.03,24,166.0,2.3564324482210632,0.0,72069.7757066099,162328367.8,1044.052383814096,95.0,3.25,15770.0,0.10143380213580126,388.43999999999994,171601.81715817068
Long BTC,Antminer S19,0.03,25,166.0,2.450157023186853,0.0,70480.10542522486,162402565.2,1044.0510675649189,95.0,3.25,15770.0,0.10138757911792885,388.43999999999994,174670.10731763058
