price,hashrate,trials
62869.495587375786,155515327.0,25
62893.561053136735,155515327.0,25
61978.12423612552,155515327.0,25
62817.347035469764,155515327.0,25
63851.85786257644,155515327.0,25
61933.5488418334,155515327.0,25
62074.35454650527,155515327.0,25
60930.45587843882,155515327.0,25
61389.14812654882,155515327.0,25
61398.24078786515,155515327.0,25
62226.05952936938,155515327.0,25
64610.18729241778,155515327.0,25
65841.78772821902,155515327.0,25
64207.632262700325,155515327.0,25
62917.44160983066,155515327.0,25
62120.63919279704,159179791.76,25
64507.01828300487,159405107.76,25
64734.184298272005,159480322.64,25
62169.257278896665,159549050.76,25
62557.344325894526,159622609.32,25
62252.181268818145,159764422.6,25
62740.990376093294,159854929.52,25
62421.374994560254,162261918.48,25
63798.37644183763,162418422.2,25
61842.404310525664,162582958.64,25
61336.396887206414,162640608.44,25
57855.43055247462,162694318.16,25
57133.585481579306,162917516.48,25
58717.58167199439,163172986.2,25
61411.94869309883,166261000.92,25
59475.21668732749,166527164.16,25
57044.56814184506,166740373.24,25
55413.171344902294,167021561.04,25
55776.74782154939,167267042.48,25
56307.570467548205,167570504.76,25
55097.674186348915,167858790.16,25
56669.70409919737,168077821.52,25
56097.02104965687,169350895.12,25
56488.980210892565,169657572.92,25
56890.05190773763,169888735.92,25
56895.23524073229,170168055.4,25
57616.52744343483,170358148.2,25
56302.85750804428,170589459.08,25
55897.96840034671,174787564.76,25
54833.63592361951,175642004.64,25
51996.47534481508,176294845.32,25
52181.083338155084,176916483.8,25
52897.99381610656,177281338.12,25
52617.216136458235,177603043.28,25
50572.496505628,181018216.08,25
49498.71108592386,181561428.2,25
51572.61908410715,182006782.72,25
50933.03371270077,182591222.76,25
51842.14092993925,182750756.2,25
53075.600895988486,183065515.92,25
53513.64881147833,183248247.48,25
53891.17018842205,183168372.68,25
52193.622663186936,184978923.28,25
52652.24687298643,185850066.12,25
49572.34397515624,185724944.16,25
48408.65434730605,186158927.72,25
48678.489781084536,186226803.8,25
46915.2675382452,186061369.0,25
45708.30067398467,186157021.28,25
47179.216361163126,186540108.64,25
46917.53118633312,186649111.8,25
46390.95598583087,187051174.52,25
46990.1621519272,186020345.16,25
48535.198900712014,185912735.92,25
47553.93471497866,185486827.52,25
47355.77317307611,184994254.32,25
47007.79385581669,184976665.24,25
46241.30969229304,184851370.0,25
44883.94372301869,185707812.0,25
44981.71319234558,185923737.04,25
43183.69659152621,185130264.2,25
42780.55943391703,184971817.28,25
44024.80243053973,184612270.84,25
43692.626294551956,185053438.2,25
45803.869856378784,185211622.52,25
46734.27272293465,185682942.44,25
46212.97654015046,185205205.36,25
44493.981497385415,184898064.08,25
43443.67023726282,184956478.12,25
43245.8995977688,184681685.0,25
43261.13152409013,185293772.56,25
43631.30660182526,185545252.2,25
41899.33455143546,185770155.24,25
40433.80234306139,185860516.44,25
39987.50813001994,185126703.68,25
39847.01513736511,184486405.28,25
39402.50640781988,183645556.84,25
37674.93303572517,183518142.0,25
38244.53190805372,183694951.0,25
38141.461185276276,183844958.72,25
36813.09669331141,183331066.68,25
37163.844052806635,183279395.36,25
34404.39252915349,184668104.16,25
34213.613988926256,184468140.76,25
34161.737154723676,184716130.48,25
34124.965156329024,184872235.76,25
