strategy,machine_type,elec_cost,day,n_machines,BTC,USD,price,global_hash_rate,global_mining_rev_btc,machine_hash_rate,machine_wattage,user_hash_rate,revenue_btc,expense_usd,total_position_usd
Long BTC,Antminer S19,0.03,0,166.0,0.0,0.0,62869.495587375786,155515327.0,1044.0551183863188,95.0,3.25,15770.0,0.1058721962302291,388.43999999999994,0.0
Long BTC,Antminer S19,0.03,1,166.0,0.09955858026603895,0.0,62893.561053136735,155515327.0,1044.0505232985056,95.0,3.25,15770.0,0.1058717302662871,388.43999999999994,6270.210612458797
Long BTC,Antminer S19,0.03,2,166.0,0.19893086855736317,0.0,61978.12423612552,155515327.0,1044.0507286158531,95.0,3.25,15770.0,0.10587175108645085,388.43999999999994,12351.98778859012
Long BTC,Antminer S19,0.03,3,166.0,0.2983953128160326,0.0,62817.347035469764,155515327.0,1044.0558689473871,95.0,3.25,15770.0,0.10587227234072108,388.43999999999994,18779.686844236843
Long BTC,Antminer S19,0.03,4,166.0,0.3979394446006597,0.0,63851.85786257644,155515327.0,1044.0534930908154,95.0,3.25,15770.0,0.10587203141747023,388.43999999999994,25457.903304295087
Long BTC,Antminer S19,0.03,5,166.0,0.4972784458580605,0.0,61933.5488418334,155515327.0,1044.050132546307,95.0,3.25,15770.0,0.1058716906421401,388.43999999999994,30859.33056252202
Long BTC,Antminer S19,0.03,6,166.0,0.5965025855673474,0.0,62074.35454650527,155515327.0,1044.0537159069281,95.0,3.25,15770.0,0.1058720540120927,388.43999999999994,37120.27857214802
Long BTC,Antminer S19,0.03,7,166.0,0.69559614285435,0.0,60930.45587843882,155515327.0,1044.053965944048,95.0,3.25,15770.0,0.10587207936705582,388.43999999999994,42493.11618049402
Long BTC,Antminer S19,0.03,8,166.0,0.794646174911688,0.0,61389.14812654882,155515327.0,1044.0557930752868,95.0,3.25,15770.0,0.10587226464692621,388.43999999999994,48927.750546713694
Long BTC,Antminer S19,0.03,9,166.0,0.8937858786097754,0.0,61398.24078786515,155515327.0,1044.05470021767,95.0,3.25,15770.0,0.10587215382592265,388.43999999999994,55032.894965571926
Long BTC,Antminer S19,0.03,10,166.0,0.9929221877743873,0.0,62226.05952936938,155515327.0,1044.0499208810431,95.0,3.25,15770.0,0.10587166917826724,388.43999999999994,61967.58802154588
Long BTC,Antminer S19,0.03,11,166.0,1.0923853465986422,0.0,64610.18729241778,155515327.0,1044.0537419312539,95.0,3.25,15770.0,0.10587205665108415,388.43999999999994,70769.75576225662
Long BTC,Antminer S19,0.03,12,166.0,1.1919021111213866,0.0,65841.78772821902,155515327.0,1044.0530631325755,95.0,3.25,15770.0,0.10587198781764266,388.43999999999994,78684.99089180624
Long BTC,Antminer S19,0.03,13,166.0,1.2911816960425515,0.0,64207.632262700325,155515327.0,1044.0516065865627,95.0,3.25,15770.0,0.10587184011689145,388.43999999999994,83129.43427202232
Long BTC,Antminer S19,0.03,14,166.0,1.390119923353017,0.0,62917.44160983066,155515327.0,1044.0534214593488,95.0,3.25,15770.0,0.10587202415369604,388.43999999999994,87735.9478466665
Long BTC,Antminer S19,0.03,15,166.0,1.488989603013421,0.0,62120.63919279704,159179791.76,1044.0504846411275,95.0,3.25,15770.0,0.10343569009446625,388.43999999999994,92786.94687793904
Long BTC,Antminer S19,0.03,16,166.0,1.585668907911079,0.0,64507.01828300487,159405107.76,1044.0523671722488,95.0,3.25,15770.0,0.1032902918185261,388.43999999999994,102593.47762486554
Long BTC,Antminer S19,0.03,17,166.0,1.6822223592744026,0.0,64734.184298272005,159480322.64,1044.0515799225252,95.0,3.25,15770.0,0.10324139350790025,388.43999999999994,109248.94666157525
Long BTC,Antminer S19,0.03,18,166.0,1.7783599399891772,0.0,62169.257278896665,159549050.76,1044.0529302139012,95.0,3.25,15770.0,0.10319709020687969,388.43999999999994,110966.0924132694
Long BTC,Antminer S19,0.03,19,166.0,1.8744053436306927,0.0,62557.344325894526,159622609.32,1044.0488225727086,95.0,3.25,15770.0,0.10314896854249095,388.43999999999994,117766.5733060826
Long BTC,Antminer S19,0.03,20,166.0,1.9704117227794569,0.0,62252.181268818145,159764422.6,1044.0491248612132,95.0,3.25,15770.0,0.10305804109050172,388.43999999999994,123239.39907440741
Long BTC,Antminer S19,0.03,21,166.0,2.0663910813615947,0.0,62740.990376093294,159854929.52,1044.0545635392577,95.0,3.25,15770.0,0.1030003211517145,388.43999999999994,130271.76302991743
Long BTC,Antminer S19,0.03,22,166.0,2.162229986182896,0.0,62421.374994560254,162261918.48,1044.0506756399677,95.0,3.25,15770.0,0.10147420670465453,388.43999999999994,135633.48444043813
Long BTC,Antminer S19,0.03,23,166.0,2.256744600198197,0.0,63798.37644183763,162418422.2,1044.0538594138216,95.0,3.25,15770.0,0.10137755244653951,388.43999999999994,144680.83833902932
Long BTC,Antminer S19,0.03,24,166.0,2.3510737368394006,0.0,61842.404310525664,162582958.64,1044.0513219513452,95.0,3.25,15770.0,0.10127460228655429,388.43999999999994,146054.57610334884
Long BTC,Antminer S19,0.03,25,166.0,2.445165250979748,0.0,61336.396887206414,162640608.44,1044.0561204628561,95.0,3.25,15770.0,0.10123937044527218,388.43999999999994,150693.58808505133
Long BTC,Antminer S19,0.03,26,166.0,2.5388883058588902,0.0,57855.43055247462,162694318.16,1044.0518634782143,95.0,3.25,15770.0,0.10120535957190692,388.43999999999994,147533.636550183
Long BTC,Antminer S19,0.03,27,166.0,2.632451535804876,0.0,57133.585481579306,162917516.48,1044.0530284009658,95.0,3.25,15770.0,0.10106832743347935,388.43999999999994,151114.22046827275
