strategy,machine_type,elec_cost,day,n_machines,BTC,USD,price,global_hash_rate,global_mining_rev_btc,machine_hash_rate,machine_wattage,user_hash_rate,revenue_btc,expense_usd,total_position_usd
Long BTC,Antminer S17,0.04,29,227.0,2.1544076836333885,0.0,74186.17599069532,166221530.64,1044.0516292075854,56.0,2.5200000000000014,12712.0,0.07985777328654982,549.1584000000001,163556.98672088026
Long BTC,Antminer S17,0.04,30,227.0,2.2237801620901267,0.0,77741.98342990277,166743603.52,1044.0491373943853,56.0,2.5200000000000014,12712.0,0.07960691878875005,549.1584000000001,177381.24832686537
Long BTC,Antminer S17,0.04,31,227.0,2.292713004429883,0.0,76905.03531740767,166998404.72,1044.0539521078747,56.0,2.5200000000000014,12712.0,0.0794862497371816,549.1584000000001,181156.74448961898
Long BTC,Antminer S17,0.04,32,227.0,2.361551687056402,0.0,76325.2262058043,167383514.16,1044.053869041821,56.0,2.5200000000000014,12712.0,0.07930287708059167,549.1584000000001,185248.0681372681
Long BTC,Antminer S17,0.04,33,227.0,2.4304402013445765,0.0,76963.17753781723,167593192.96,1044.0523556862013,56.0,2.5200000000000014,12712.0,0.07920448149826473,549.1584000000001,192079.90632094684
Long BTC,Antminer S17,0.04,34,227.0,2.4990574791235254,0.0,73155.92022053376,167864084.2,1044.0559033336801,56.0,2.5200000000000014,12712.0,0.07907770198900681,549.1584000000001,187604.35057778764
Long BTC,Antminer S17,0.04,35,227.0,2.567360395738561,0.0,74587.07912631347,168274626.96,1044.050003622159,56.0,2.5200000000000014,12712.0,0.07888674831817105,549.1584000000001,196836.1647312825
Long BTC,Antminer S17,0.04,36,227.0,2.6352274909422433,0.0,74980.84241007366,168422369.28,1044.0546908567744,56.0,2.5200000000000014,12712.0,0.07881970980354716,549.1584000000001,203513.8480431794
Long BTC,Antminer S17,0.04,37,227.0,2.702886573879988,0.0,77732.76086950793,169874435.72,1044.05272983822,56.0,2.5200000000000014,12712.0,0.07814747061803576,549.1584000000001,216691.11152937627
Long BTC,Antminer S17,0.04,38,227.0,2.7695005783277247,0.0,75407.40435192693,170196356.6,1044.0545902092592,56.0,2.5200000000000014,12712.0,0.07800274159153689,549.1584000000001,215547.15052195708
