strategy,machine_type,elec_cost,day,n_machines,BTC,USD,price,global_hash_rate,global_mining_rev_btc,machine_hash_rate,machine_wattage,user_hash_rate,revenue_btc,expense_usd,total_position_usd
Long BTC,Antminer S17,0.04,0,227.0,0.0,0.0,62869.495587375786,155915066.0,1044.0508344339107,56.0,2.5200000000000014,12712.0,0.08512310290349921,549.1584000000001,0.0
Long BTC,Antminer S17,0.04,1,227.0,0.07642122685784247,0.0,63396.91178003434,155915066.0,1044.0515997544437,56.0,2.5200000000000014,12712.0,0.08512316530128328,549.1584000000001,4847.387995909169
Long BTC,Antminer S17,0.04,2,227.0,0.15254927234149437,0.0,62063.02849878676,155915066.0,1044.049615813675,56.0,2.5200000000000014,12712.0,0.08512300354747909,549.1584000000001,9479.51644982103
Long BTC,Antminer S17,0.04,3,227.0,0.22860557326341568,0.0,61882.86005088181,155915066.0,1044.0549702171204,56.0,2.5200000000000014,12712.0,0.08512344010039435,549.1584000000001,14169.427124742684
Long BTC,Antminer S17,0.04,4,227.0,0.30454417386698246,0.0,62490.89443991766,155915066.0,1044.0518631130728,56.0,2.5200000000000014,12712.0,0.08512318677332555,549.1584000000001,19084.724741252703
Long BTC,Antminer S17,0.04,5,227.0,0.38025650071443634,0.0,61548.19231112138,155915066.0,1044.0502317699588,56.0,2.5200000000000014,12712.0,0.0851230537673615,549.1584000000001,23487.969506925343
Long BTC,Antminer S17,0.04,6,227.0,0.4558663791994488,0.0,61429.16960469297,155915066.0,1044.0518316473356,56.0,2.5200000000000014,12712.0,0.08512318420787464,549.1584000000001,28121.9014818992
Long BTC,Antminer S17,0.04,7,227.0,0.5316350714969907,0.0,63049.58524419725,155915066.0,1044.0536276574123,56.0,2.5200000000000014,12712.0,0.08512333063939458,549.1584000000001,33674.72408995735
Long BTC,Antminer S17,0.04,8,227.0,0.606926922943954,0.0,61266.9382128963,155915066.0,1044.051277134167,56.0,2.5200000000000014,12712.0,0.08512313899754584,549.1584000000001,37404.19241064559
Long BTC,Antminer S17,0.04,9,227.0,0.6821705117407771,0.0,60643.1695646313,155915066.0,1044.0511347724619,56.0,2.5200000000000014,12712.0,0.0851231273905726,549.1584000000001,41622.01937573326
Long BTC,Antminer S17,0.04,10,227.0,0.757435285399176,0.0,60994.12877782471,155915066.0,1044.0535050610122,56.0,2.5200000000000014,12712.0,0.08512332064391767,549.1584000000001,46487.923973801786
Long BTC,Antminer S17,0.04,11,227.0,0.8328495275904547,0.0,61891.05203829086,155915066.0,1044.0526501419881,56.0,2.5200000000000014,12712.0,0.08512325094102806,549.1584000000001,51893.17418133842
Long BTC,Antminer S17,0.04,12,227.0,0.9084623954582075,0.0,64137.472114146076,155915066.0,1044.0558299402455,56.0,2.5200000000000014,12712.0,0.0851235101949699,549.1584000000001,58675.72846533683
Long BTC,Antminer S17,0.04,13,227.0,0.9840480479596936,0.0,63334.473252575124,155915066.0,1044.04980184392,56.0,2.5200000000000014,12712.0,0.08512301871481691,549.1584000000001,62752.658108445394
Long BTC,Antminer S17,0.04,14,227.0,1.059367863078567,0.0,63028.40132849378,155915066.0,1044.051547146457,56.0,2.5200000000000014,12712.0,0.08512316101207157,549.1584000000001,67273.3373020684
Long BTC,Antminer S17,0.04,15,227.0,1.1348677062757364,0.0,65317.50625737094,159501104.64,1044.0502842341562,56.0,2.5200000000000014,12712.0,0.08320942717882611,549.1584000000001,74806.07006516722
Long BTC,Antminer S17,0.04,16,227.0,1.208430023979601,0.0,66226.41012101962,159713371.88,1044.0531015198271,56.0,2.5200000000000014,12712.0,0.08309941328202415,549.1584000000001,80817.84367128191
Long BTC,Antminer S17,0.04,17,227.0,1.281551002015395,0.0,64675.34023087794,159837340.08,1044.0480776917746,56.0,2.5200000000000014,12712.0,0.08303480272302931,549.1584000000001,83774.24850998395
Long BTC,Antminer S17,0.04,18,227.0,1.354597606527638,0.0,64076.626473719356,159951913.36,1044.0494716842907,56.0,2.5200000000000014,12712.0,0.08297587594234913,549.1584000000001,87741.97178126198
Long BTC,Antminer S17,0.04,19,227.0,1.4272717095897283,0.0,62095.008517738104,160046864.88,1044.0509764444737,56.0,2.5200000000000014,12712.0,0.08292704028519632,549.1584000000001,89568.33027301024
Long BTC,Antminer S17,0.04,20,227.0,1.4996479911582636,0.0,60150.811610102624,160148765.12,1044.0532312709072,56.0,2.5200000000000014,12712.0,0.08287467240756387,549.1584000000001,91129.43005894704
Long BTC,Antminer S17,0.04,21,227.0,1.5717643863680246,0.0,60376.335905821696,160232294.44,1044.0492539219006,56.0,2.5200000000000014,12712.0,0.0828312087971429,549.1584000000001,95937.68045956928
Long BTC,Antminer S17,0.04,22,227.0,1.6438077590904299,0.0,60570.7388415866,162581039.44,1044.051548378545,56.0,2.5200000000000014,12712.0,0.08163564845884581,549.1584000000001,100756.05466480443
Long BTC,Antminer S17,0.04,23,227.0,1.7144589345120478,0.0,61318.505439559696,162822280.52,1044.0527211436438,56.0,2.5200000000000014,12712.0,0.08151499669646695,549.1584000000001,106521.07638860622
Long BTC,Antminer S17,0.04,24,227.0,1.785096870080221,0.0,61979.7724707631,162981592.32,1044.0517108012743,56.0,2.5200000000000014,12712.0,0.08143582564062139,549.1584000000001,112089.11226989912
Long BTC,Antminer S17,0.04,25,227.0,1.8556490747302663,0.0,63266.689833860386,163092354.68,1044.0512413985189,56.0,2.5200000000000014,12712.0,0.08138076040212164,549.1584000000001,119021.40170055878
