price,hashrate,trials
62869.495587375786,155915066.0,25
63396.91178003434,155915066.0,25
62063.02849878676,155915066.0,25
61882.86005088181,155915066.0,25
62490.89443991766,155915066.0,25
61548.19231112138,155915066.0,25
61429.16960469297,155915066.0,25
63049.58524419725,155915066.0,25
61266.9382128963,155915066.0,25
60643.1695646313,155915066.0,25
60994.12877782471,155915066.0,25
61891.05203829086,155915066.0,25
64137.472114146076,155915066.0,25
63334.473252575124,155915066.0,25
63028.40132849378,155915066.0,25
65317.50625737094,159501104.64,25
66226.41012101962,159713371.88,25
64675.34023087794,159837340.08,25
64076.626473719356,159951913.36,25
62095.008517738104,160046864.88,25
60150.811610102624,160148765.12,25
60376.335905821696,160232294.44,25
60570.7388415866,162581039.44,25
61318.505439559696,162822280.52,25
61979.7724707631,162981592.32,25
63266.689833860386,163092354.68,25
64405.67426783239,163218845.4,25
65734.26569900055,163311497.36,25
66786.45507628741,163442299.32,25
67003.8169038382,166376814.0,25
69444.80702896795,166801215.88,25
70944.74320822112,167187616.56,25
72051.67607536973,167468448.52,25
74397.12782344806,167776825.16,25
73251.5074964647,168036643.0,25
71895.64751285585,168297726.0,25
68598.79140582313,168446738.32,25
70746.66574055908,169867907.8,25
70938.52828779681,170201327.8,25
72995.91920305428,170415216.64,25
72296.5299561221,170685908.12,25
73073.33532658657,170846115.32,25
71965.22139123651,171124684.96,25
72787.80692653818,174965288.72,25
73302.26628473071,175573917.88,25
73378.11882994563,176047305.64,25
75982.1202007431,176597080.72,25
75328.22924159275,176984912.04,25
74390.32403288459,177255093.12,25
74298.36244807528,180600595.6,25
74737.12575404583,180751626.76,25
74888.56318702066,181023897.36,25
76175.78127738807,181486824.24,25
77528.02870990332,181775143.56,25
77862.33300850345,181984363.92,25
78968.73624926379,182196983.0,25
82992.4024230077,182503993.08,25
85449.42379670824,184271399.24,25
81074.03368994575,184823088.88,25
84446.80701269311,185262411.0,25
84044.61353051517,185114814.72,25
82098.25719448607,185400893.44,25
76282.31350715985,186014774.72,25
75023.55335696232,186295322.4,25
76886.87722641604,187935133.92,25
77741.66675177055,188542783.52,25
82161.12069386785,189046069.28,25
82592.14997005064,188991395.96,25
89083.4841933555,189011767.28,25
90050.76919114146,189444021.32,25
92628.92718797192,189710518.92,25
92154.1092141033,191022991.64,25
98203.83456148652,191643869.16,25
97915.56117381394,192757274.12,25
98860.75161413883,193224133.6,25
97185.91254920859,193489099.84,25
99934.95689311573,193899464.88,25
99390.48124676663,194421739.88,25
98907.9809729415,194840200.16,25
93936.44801002879,195146590.76,25
96327.83790231391,195598759.88,25
95769.4676297216,195930294.24,25
96765.58197827626,196163029.44,25
97488.42750831794,196322965.32,25
98544.56989041425,196181353.44,25
97971.00353165678,197855995.84,25
96863.77804717257,198413445.76,25
95553.29644433933,198954660.76,25
96706.5693323118,199135127.68,25
92645.7681407652,199263940.32,25
90689.86327702492,199696800.68,25
90895.0972876475,200398029.6,25
93957.17334226359,200707850.52,25
100342.31131062208,200921309.16,25
104420.44616371412,200502942.8,25
103005.51489460922,200643678.4,25
104156.90701452039,200964060.04,25
100958.46210829899,202919096.04,25
98552.5544649833,203365193.48,25
95818.2732531933,204400352.8,25
94055.12384969302,204819160.92,25
