strategy,machine_type,elec_cost,day,n_machines,BTC,USD,price,global_hash_rate,global_mining_rev_btc,machine_hash_rate,machine_wattage,user_hash_rate,revenue_btc,expense_usd,total_position_usd
Long BTC,Antminer S17,0.04,19,227.0,1.4280181537706769,0.0,63139.86298165551,159969082.2,1044.0509516578177,56.0,2.5200000000000014,12712.0,0.08296681293814012,549.1584000000001,91062.86368218849
Long BTC,Antminer S17,0.04,20,227.0,1.500924311146167,0.0,62265.62229285864,160061988.08,1044.050398852992,56.0,2.5200000000000014,12712.0,0.08291864207545915,549.1584000000001,94363.72074790782
Long BTC,Antminer S17,0.04,21,227.0,1.573530693478434,0.0,61375.084779119294,160147814.88,1044.0509846219898,56.0,2.5200000000000014,12712.0,0.08287450005286937,549.1584000000001,97579.67797026437
Long BTC,Antminer S17,0.04,22,227.0,1.6464488840008717,0.0,62617.99837237677,162503722.32,1044.0494911874912,56.0,2.5200000000000014,12712.0,0.0816737060847277,549.1584000000001,104114.97555771758
Long BTC,Antminer S17,0.04,23,227.0,1.718033366999455,0.0,62220.18389475358,162720637.56,1044.0552154288816,56.0,2.5200000000000014,12712.0,0.08156564738447714,549.1584000000001,107956.47381999504
Long BTC,Antminer S17,0.04,24,227.0,1.7891050821191292,0.0,61279.60730974472,162892704.32,1044.0471153198528,56.0,2.5200000000000014,12712.0,0.08147892532452321,549.1584000000001,110905.09575131057
Long BTC,Antminer S17,0.04,25,227.0,1.8597377969658302,0.0,59673.31786679763,162988832.56,1044.0500987080295,56.0,2.5200000000000014,12712.0,0.08143126165044633,549.1584000000001,112424.98309473153
Long BTC,Antminer S17,0.04,26,227.0,1.9301815036258418,0.0,60674.47367042657,163074387.6,1044.051658150602,56.0,2.5200000000000014,12712.0,0.08138874421279416,549.1584000000001,118798.78124189132
Long BTC,Antminer S17,0.04,27,227.0,2.0001712776339495,0.0,56749.39917549654,163267619.88,1044.0551967131669,56.0,2.5200000000000014,12712.0,0.08129334612909847,549.1584000000001,114999.61815088974
Long BTC,Antminer S17,0.04,28,227.0,2.0696937369430475,0.0,55124.982404587696,163451060.84,1044.051495836024,56.0,2.5200000000000014,12712.0,0.0812023899322874,549.1584000000001,115649.00603781342
Long BTC,Antminer S17,0.04,29,227.0,2.1391834675773818,0.0,55400.15826454336,166571946.32,1044.0531634640047,56.0,2.5200000000000014,12712.0,0.07968228394456434,549.1584000000001,120209.47294492133
Long BTC,Antminer S17,0.04,30,227.0,2.2068274280001354,0.0,54123.89951609809,167094006.6,1044.0550561594782,56.0,2.5200000000000014,12712.0,0.07943565585585209,549.1584000000001,121265.45602053462
Long BTC,Antminer S17,0.04,31,227.0,2.274042082635974,0.0,55333.8449707558,167443251.64,1044.0536518637125,56.0,2.5200000000000014,12712.0,0.07927160016984089,549.1584000000001,128003.20835104153
Long BTC,Antminer S17,0.04,32,227.0,2.340850485808633,0.0,54260.58129223517,167599749.96,1044.0539691395932,56.0,2.5200000000000014,12712.0,0.07919743286651008,549.1584000000001,129228.71904646727
Long BTC,Antminer S17,0.04,33,227.0,2.4073078888072925,0.0,53423.42631726843,167738412.12,1044.0518330353225,56.0,2.5200000000000014,12712.0,0.07913153387286066,549.1584000000001,130826.50451061215
Long BTC,Antminer S17,0.04,34,227.0,2.473235628964296,0.0,51999.40310392563,167943387.44,1044.055409652991,56.0,2.5200000000000014,12712.0,0.07903534704096306,549.1584000000001,130951.10972088807
Long BTC,Antminer S17,0.04,35,227.0,2.5391478129878413,0.0,50781.861276937125,168217355.32,1044.0493877536862,56.0,2.5200000000000014,12712.0,0.07890676498543592,549.1584000000001,131128.67199347512
Long BTC,Antminer S17,0.04,36,227.0,2.604864178864426,0.0,52203.77575989929,168380114.2,1044.0536187913874,56.0,2.5200000000000014,12712.0,0.07883078955743668,549.1584000000001,138487.10106227777
Long BTC,Antminer S17,0.04,37,227.0,2.670655039855815,0.0,51458.91051521774,169789288.44,1044.0507860894297,56.0,2.5200000000000014,12712.0,0.07817774683448726,549.1584000000001,139651.8994061394
Long BTC,Antminer S17,0.04,38,227.0,2.7352475245086496,0.0,50324.84124088055,170091164.04,1044.0493399423656,56.0,2.5200000000000014,12712.0,0.07803985261804575,549.1584000000001,139977.6220996251
Long BTC,Antminer S17,0.04,39,227.0,2.799109729716642,0.0,49858.55722893874,170281577.4,1044.0522161984297,56.0,2.5200000000000014,12712.0,0.0779527588126525,549.1584000000001,142262.79652500935
Long BTC,Antminer S17,0.04,40,227.0,2.862302224248775,0.0,48727.38199114125,170508523.72,1044.0453136301564,56.0,2.5200000000000014,12712.0,0.07784965158429165,549.1584000000001,142289.34568882317
Long BTC,Antminer S17,0.04,41,227.0,2.9256781125963847,0.0,48264.663255305495,170811405.56,1044.0545081906096,56.0,2.5200000000000014,12712.0,0.07771197523829236,549.1584000000001,144038.74605803256
Long BTC,Antminer S17,0.04,42,227.0,2.989002373073613,0.0,48200.41061557848,171190401.68,1044.0517205472636,56.0,2.5200000000000014,12712.0,0.07753977805280364,549.1584000000001,147080.2180531529
